RIGOL TECHNOLOGIES,DP821A,DP8E165350191,00.01.13
Date, Time, voltage1, current1, power1, voltage2, current2, power2
2023-07-28, 17:03:49, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:03:50, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:12:41, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:12:42, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:12:43, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:12:44, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:12:45, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:12:46, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:12:47, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:12:48, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:12:50, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:12:51, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:12:52, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:12:53, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:12:54, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:12:55, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:12:56, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:12:57, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:12:58, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:12:59, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:13:00, 0.022, 0.0002, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:13:01, 0.021, 0.0002, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:13:03, 0.021, 0.0002, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:13:04, 0.021, 0.0002, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:13:05, 0.021, 0.0002, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:13:06, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:13:07, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000
2023-07-28, 17:13:08, 0.022, 0.0002, 0.000, 0.000, 0.000, 0.000
